source_id	project_or_publisher	source_type	host	language	content_origin	priority	title	url	local_path	date	notes	version
GE-GALA-README	gala-gopher	README	Gitee	zh-CN	original_chinese	primary	gala-gopher README	https://gitee.com/openeuler/gala-gopher/blob/master/README.md	sources/gitee/gala-gopher_README.md	2026-09-04	Official openEuler repository; page notes migration to AtomGit.	v1.1.0
GE-GALA-TECH	gala-gopher	technical reference	Gitee	zh-CN	original_chinese	primary	gala-gopher technical metrics reference	https://gitee.com/openeuler/gala-docs/blob/master/gopher_tech.md	sources/gitee/gala-gopher_tech.md	2026-09-04	Large Chinese metrics reference.	v1.1.0
GE-KMESH	Kmesh	development guide	Gitee	zh-CN	original_chinese	primary	Kmesh development guide	https://gitee.com/openeuler/Kmesh/blob/master/docs/kmesh_development_guide.md	sources/gitee/kmesh_development_guide.md	2026-09-04	Official openEuler repository; page notes migration to AtomGit.	v1.1.0
GE-SYSAK	SysAK	tool documentation	Gitee	zh-CN	original_chinese	primary	runqslower documentation	https://gitee.com/anolis/sysak/blob/opensource_branch/source/tools/detect/sched/runqslower/README.md	sources/gitee/sysak_runqslower_README.md	2026-09-04	Official OpenAnolis repository.	v1.1.0
WEB-DEEPFLOW	DeepFlow	blog	Official website	zh-CN	original_chinese	primary	基于开源的全栈全链路可观测性建设实践	https://www.deepflow.io/blog/zh/006-build-observability-platorm-based-on-open-source-components/index.html	sources/web/deepflow_open_source_observability_blog.html	2026-09-04	Official Chinese blog.	v1.1.0
WEB-N9E	Nightingale	product documentation	Official documentation	zh-CN	original_chinese	primary	夜莺项目介绍	https://n9e.github.io/zh/docs/prologue/introduction/	sources/web/nightingale_introduction.html	2026-09-04	Official Chinese documentation.	v1.1.0
WEB-SW-GO	Apache SkyWalking	blog	Official website	zh-CN	original_chinese	primary	SkyWalking Go Toolkit Log 与 Metrics 的使用	https://skywalking.apache.org/zh/2024-10-20-skywalking-go-toolkit-metrics-log/	sources/web/skywalking_go_toolkit_metrics_log.html	2026-09-04	Official Chinese article retaining several API terms in English.	v1.1.0
PDF-COOLBPF	CoolBPF/Alibaba Cloud	white paper	GitHub	zh-CN	original_chinese	primary	eBPF 技术实践白皮书	https://github.com/aliyun/coolbpf/blob/master/docs/white-book/eBPF技术实践白皮书.pdf	sources/papers/CoolBPF_eBPF_practice_whitepaper.pdf	2026-09-04	65-page official Chinese white paper.	v1.1.0
PDF-DEEPFLOW-TKE	DeepFlow/Tencent Cloud presentation	conference presentation	Official object storage	zh-CN	original_chinese	primary	DeepFlow 在 TKE 内部平台的可观测性实践	https://yunshan-guangzhou.oss-cn-beijing.aliyuncs.com/yunshan-ticket/pdf/85bfdb75cf8v77d8b618bf2h90a769b4_20241217152025.pdf	sources/papers/DeepFlow_TKE_observability_practice_2024.pdf	2026-09-04	Officially hosted Chinese presentation; PDF metadata reports 8 pages.	v1.1.0
WEB-SW-MESH	Apache SkyWalking	blog	Official website	zh-CN	translated_to_chinese	fallback	使用 eBPF 诊断服务网格网络性能	https://skywalking.apache.org/zh/diagnose-service-mesh-network-performance-with-ebpf/	sources/web/skywalking_ebpf_service_mesh_diagnosis.html	2026-09-04	Shows the contextual variant 柱状图 for Histogram. Chinese translation; references are marked (T).	v1.1.0
WEB-SW-HTTP	Apache SkyWalking	blog	Official website	zh-CN	translated_to_chinese	fallback	使用 eBPF 提升 HTTP 可观测性——L7 指标和追踪	https://skywalking.apache.org/zh/ebpf-enhanced-http-observability-l7-metrics-and-tracing/	sources/web/skywalking_ebpf_http_observability.html	2026-09-04	Official Chinese article. Chinese translation; references are marked (T).	v1.1.0
WEB-OTEL-METRICS	OpenTelemetry	concept documentation	Official documentation	zh-CN	translated_to_chinese	fallback	Metrics	https://opentelemetry.io/zh/docs/concepts/signals/metrics/	sources/web/opentelemetry_zh_metrics.html	2026-09-04	Standards reference used to disambiguate metric/instrument terminology. Chinese translation; references are marked (T).	v1.1.0
