term	chinese_counterpart	region_or_context	notes	references	date	version
alert rule	告警规则	Monitoring configuration	Standard product/configuration term.	GH-N9E-README;WEB-N9E	2026-09-04	v1.1.0
alert threshold	告警阈值	Monitoring configuration	阈值 is preferred in formal prose; 门限 also appears in systems diagnostics.	GH-N9E-README;GE-SYSAK	2026-09-04	v1.1.0
threshold	阈值	General monitoring/statistics	Most broadly understood modern translation.	GH-N9E-README;WEB-N9E	2026-09-04	v1.1.0
threshold	门限	Kernel/network diagnostics	Established engineering variant, especially telecommunications and low-level diagnostics.	GE-SYSAK	2026-09-04	v1.1.0
dashboard	仪表盘	Product UI	Dominant UI translation.	GH-N9E-README;WEB-N9E;WEB-SW-GO	2026-09-04	v1.1.0
visualization	可视化	Product/data analysis	Standard translation.	GH-N9E-README;WEB-N9E	2026-09-04	v1.1.0
time series	时间序列	Database/data-model context	Formal full form.	GH-N9E-README;GE-GALA-TECH	2026-09-04	v1.1.0
time-series database	时序数据库	Observability storage	Standard shortened compound; TSDB commonly remains untranslated in expert prose.	WEB-N9E;GH-N9E-README	2026-09-04	v1.1.0
data source	数据源	Integration/product context	Standard translation.	GH-N9E-README;WEB-N9E	2026-09-04	v1.1.0
data collection	数据采集	Telemetry pipeline	Standard translation.	GH-CATEGRAF;GE-GALA-README;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
collector	采集器	Telemetry component	Preferred for a standalone collection component or agent role.	GH-CATEGRAF;WEB-N9E	2026-09-04	v1.1.0
probe	探针	Instrumentation/eBPF/APM	Standard translation for deployed observation code/component; Probe remains in identifiers.	GE-GALA-README;PDF-COOLBPF	2026-09-04	v1.1.0
instrumentation	插桩	APM/compiler/runtime	Standard technical translation for adding observation hooks/code.	WEB-DEEPFLOW;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
instrumentation	埋点	Application analytics/manual event collection	Common when application developers add explicit reporting points; implies manual code changes more strongly than 插桩.	WEB-DEEPFLOW	2026-09-04	v1.1.0
zero instrumentation	零插桩	Literal technical claim	Direct opposite of 插桩; precise when no instrumentation code is inserted.	WEB-DEEPFLOW	2026-09-04	v1.1.0
zero-code instrumentation	零侵扰采集	Product/solution marketing	Emphasizes no application modification and low intrusion; broader than literal 零插桩.	GH-DEEPFLOW;WEB-DEEPFLOW	2026-09-04	v1.1.0
non-intrusive	非侵入	openEuler/gala terminology	Common technical adjective in 非侵入可观测; neutral and literal.	GE-GALA-README	2026-09-04	v1.1.0
non-intrusive	零侵扰	DeepFlow product terminology	Stronger product phrasing; may imply no code changes rather than literally zero runtime overhead.	GH-DEEPFLOW;WEB-DEEPFLOW	2026-09-04	v1.1.0
profiling	性能剖析	Observability/performance	Preferred formal translation, especially 持续性能剖析.	GH-DEEPFLOW;WEB-DEEPFLOW;GH-EUNOMIA-PROFILE	2026-09-04	v1.1.0
profiling	性能分析	General explanatory prose	Broader term that can include non-profiler analysis; use 性能剖析 for the specific observability signal.	PDF-COOLBPF;GH-EUNOMIA-PROFILE	2026-09-04	v1.1.0
continuous profiling	持续性能剖析	Observability signal/product capability	Preferred explicit rendering.	GH-DEEPFLOW;WEB-DEEPFLOW	2026-09-04	v1.1.0
flame graph	火焰图	Performance diagnostics	Established translation.	GE-GALA-README;GH-EUNOMIA-PROFILE	2026-09-04	v1.1.0
sampling	采样	Profiling/telemetry	Standard translation.	GE-SYSAK;GH-EUNOMIA-PROFILE;PDF-COOLBPF	2026-09-04	v1.1.0
aggregation	聚合	Metrics/data processing	Standard translation.	GH-N9E-README;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
temporality	时间性	OpenTelemetry metrics data model	Specification term; in practical docs clarify delta/cumulative semantics because the Chinese noun alone is abstract.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
cumulative	累积	Metrics temporality	Use for values aggregated since a fixed start time.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
delta	增量	Metrics temporality	Use for change during the reporting interval; Delta often remains in schema/API names.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
counter	计数器	Metrics instrument/data type	Standard translation.	WEB-SW-GO;WEB-SW-MESH (T)	2026-09-04	v1.1.0
gauge	仪表	Metrics instrument	Literal standards translation; many Chinese engineering docs retain Gauge to avoid confusion with dashboard gauges.	WEB-SW-GO;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
bucket	桶	Histogram/data distribution	Established technical translation, as in 桶边界 and 分桶.	WEB-SW-MESH (T);WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
cardinality	基数	Metrics/labels/database	Standard database/set-theory term; commonly discussed as 高基数.	GE-GALA-TECH;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
label	标签	Prometheus/metrics	Standard translation; distinguish from field/字段 when the data model does.	GH-N9E-README;WEB-DEEPFLOW	2026-09-04	v1.1.0
tag	标签	Observability enrichment	Usually also 标签; some products distinguish Tag from Prometheus Label, so preserve the English model name where needed.	GH-DEEPFLOW;WEB-DEEPFLOW	2026-09-04	v1.1.0
attribute	属性	OpenTelemetry/resource context	Preferred standards translation.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
metadata	元数据	All data contexts	Standard translation.	GH-N9E-README;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
exemplar	范例	OpenTelemetry/Prometheus metrics	Literal translation seen in standards; expert Chinese material often retains Exemplar because it is a named data-model concept.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
exporter	导出器	Telemetry pipeline	Standard OpenTelemetry/Prometheus translation; English remains common in component names.	GH-CATEGRAF;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
receiver	接收器	Telemetry pipeline	Standard component-role translation.	GH-DEEPFLOW;WEB-N9E	2026-09-04	v1.1.0
service topology	服务拓扑	Observability/APM	Standard rendering; 拓扑图 when specifically naming the visualization.	WEB-DEEPFLOW;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
root cause analysis	根因分析	Diagnostics/AIOps	Standard translation; 故障根因定位 emphasizes operational outcome.	GE-GALA-README;GH-DEEPFLOW	2026-09-04	v1.1.0
troubleshooting	故障排查	Operations	Natural operations translation.	PDF-COOLBPF;GE-SYSAK	2026-09-04	v1.1.0
diagnosis	诊断	Operations/performance	Standard translation.	GE-GALA-README;PDF-COOLBPF	2026-09-04	v1.1.0
latency	时延	Networking/systems	Preferred in Mainland networking and systems documentation.	GE-GALA-README;PDF-COOLBPF;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
latency	延迟	Application/UI/general computing	Common and natural general variant; may also describe scheduling delay.	GE-SYSAK;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
throughput	吞吐量	Performance/networking	Standard translation.	GE-GALA-README;PDF-COOLBPF	2026-09-04	v1.1.0
packet loss	丢包	Networking	Standard concise translation.	GE-GALA-README;PDF-COOLBPF	2026-09-04	v1.1.0
retransmission	重传	Networking/TCP	Standard translation.	GE-GALA-README;WEB-SW-MESH (T)	2026-09-04	v1.1.0
request rate	请求速率	Metrics/SRE	Preferred precise phrase; 请求率 also appears.	GE-GALA-TECH;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
error rate	错误率	Metrics/SRE	Standard translation.	GE-GALA-README;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
availability	可用性	SRE/operations	Standard translation.	GH-N9E-README;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
service-level objective	服务等级目标	SRE	Standard expansion for SLO; 服务级别目标 is an accepted variant.	WEB-N9E	2026-09-04	v1.1.0
mean time to repair	平均故障修复时间	SRE/operations	Common expansion of MTTR when R means repair.	WEB-N9E	2026-09-04	v1.1.0
mean time to recovery	平均恢复时间	SRE/operations	Alternative MTTR expansion; name the English expansion because both map to MTTR.	GH-N9E-README	2026-09-04	v1.1.0
kernel space	内核态	Linux/eBPF	Preferred when contrasting execution context with 用户态.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
kernel space	内核空间	Linux memory/address-space context	Use when spatial/address-space meaning is intended.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
user space	用户态	Linux/eBPF execution context	Preferred counterpart to 内核态.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
user space	用户空间	Linux address-space/component context	Preferred when emphasizing memory space or userspace components.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
hook	挂载点	Linux/eBPF attachment location	Used when hook means the point to which an eBPF program attaches.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
hook	钩子	General programming/kernel mechanism	Literal established translation; often retained as hook in expert prose.	GE-KMESH;PDF-COOLBPF	2026-09-04	v1.1.0
verifier	验证器	eBPF safety/component	Standard translation for the kernel eBPF verifier.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-04	v1.1.0
helper function	辅助函数	eBPF API	Standard translation for BPF helper functions.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-04	v1.1.0
bytecode	字节码	Compiler/eBPF	Standard translation.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-04	v1.1.0
just-in-time compilation	即时编译	Compiler/eBPF	Standard expansion; JIT is normally retained after first definition.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-04	v1.1.0
traffic control	流量控制	Linux networking	General expansion of TC; 流量整形 is narrower and should be used only for shaping.	GH-EUNOMIA-TC;GE-KMESH	2026-09-04	v1.1.0
packet	数据包	General networking	Broad standard term.	GH-EUNOMIA-XDP;PDF-COOLBPF	2026-09-04	v1.1.0
packet	报文	Protocol/kernel networking	More formal low-level networking term in Mainland engineering prose.	GE-KMESH;PDF-COOLBPF	2026-09-04	v1.1.0
fast path	快速路径	Networking/data plane	Literal explanatory translation.	GH-EUNOMIA-XDP;GE-KMESH	2026-09-04	v1.1.0
fast path	快路径	Kernel/network architecture shorthand	Concise established systems variant.	GE-KMESH	2026-09-04	v1.1.0
data plane	数据平面	Networking/cloud native	Standard translation.	GE-KMESH;GH-EUNOMIA-XDP	2026-09-04	v1.1.0
control plane	控制平面	Networking/cloud native	Standard translation.	GE-KMESH;GH-EUNOMIA-TC	2026-09-04	v1.1.0
service mesh	服务网格	Cloud native	Standard translation.	GE-KMESH;WEB-SW-MESH (T)	2026-09-04	v1.1.0
sidecar	边车	Service-mesh architecture	Accepted translation, but English Sidecar is often retained in Chinese technical prose.	WEB-DEEPFLOW;WEB-SW-MESH (T)	2026-09-04	v1.1.0
sampling rate	采样率	Profiling/telemetry	Standard translation.	GH-EUNOMIA-PROFILE;GE-GALA-TECH	2026-09-04	v1.1.0
stack trace	堆栈跟踪	Debugging/profiling	Common Mainland translation; 栈回溯 emphasizes the act of unwinding.	GH-EUNOMIA-PROFILE;PDF-COOLBPF	2026-09-04	v1.1.0
stack trace	调用栈	Profiling visualization/data	Natural when referring to the captured stack structure itself.	GH-EUNOMIA-PROFILE;GE-GALA-README	2026-09-04	v1.1.0
